题包,源目录,题目ID,标题,源文件测试点数,数据库测试点数,差异
东方博宜,1030,c1fac651-d0d7-4116-8197-2283b04e3c67,小明的电梯,3,5,2
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\154,6d6de5ef-39d9-405b-8328-8e3c834bb33a,Pell数列,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\175,33565252-696e-4759-a916-7f737d2da95e,计算分数加减表达式的值,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\541,d2261473-45ec-4bb7-b58d-14d008674011,判断整除,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\187,fd5b03e4-2ff8-449b-80cc-89451bc84348,转进制,10,8,-2
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\546,81ac374e-afd8-406c-b35b-f9d049b3708c,倒序数,2,5,3
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\2,7b1d3091-dc77-4e99-bec2-fdbb2faf14be,拦截导弹,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\203,11060a3c-eebd-48c2-8d9e-dd553b73ddb4,阿克曼(Ackmann)函数,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\474,0c61475f-5281-4b76-a4f0-a6137f4f72a8,采药,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\231,dfb80c9d-ac16-4768-bbe5-50d3a56d3b96,奖学金,10,5,-5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\393,13a29459-f17e-49f4-8658-3d0c0d9d28c3,判断闰年,2,10,8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\248,65e61b23-c1f2-4857-a5f6-5a54155cc44a,回文数,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\442,76dfff3f-1ec8-456d-8101-b473bc0b7ac5,昆虫繁殖,10,5,-5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\258,c3eb1052-309c-45e2-868c-bb64e3cd6136,组合的输出,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\497,1a3164dc-88ec-4ac4-83da-23e99207623d,位数问题,10,3,-7
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\261,c36d5d89-9dbc-4e5b-a43e-3ffeebbc19a0,数的计数,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\269,7aab1398-ccb5-4568-89db-b5ce42b9d98b,角谷猜想,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\519,5f65488a-e318-4f8a-80d0-441c300a5d8b,级数求和,5,10,5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\592,50c730e1-941d-4168-8e09-cd9d8b9ba21b,与7无关的数,10,4,-6
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\596,0a660de1-05fa-49f2-962c-0ee3a850fe7b,陶陶摘苹果,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\29,97a06100-0a21-41e7-9e0d-1b86d8d6aa42,合唱队形,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\294,e759a4df-7fb7-43db-8c6e-1fe6a583eef5,单词接龙,9,5,-4
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\463,1da16865-0142-4a39-a794-e86dd4a35c2d,装箱问题,2,3,1
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\311,fd8b0a6f-b049-4c79-ab2d-01925cb49843,接水问题,10,11,1
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\312,05d40108-de5a-4ee8-a231-aa5f60efc231,表达式括号匹配,5,3,-2
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\512,37e9e951-c3f0-4c58-81bb-c35ea8757f1c,铺地毯,10,2,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\338,a273e0d6-5880-404e-a92e-77ed80f839e6,删数问题,6,3,-3
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\339,182128fa-52ea-48b5-b2fc-db73c1f3c748,均分纸牌,5,1,-4
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\340,517c5d5d-ceab-48ff-b687-26920fce254e,活动选择,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\371,6dd7cedc-ecc9-40c3-b314-8796473dfbe6,八皇后,10,4,-6
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\373,7492be43-8b95-4e2e-b0ba-01716923a8fa,红与黑,10,3,-7
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\396,b7cc5f35-8c66-4e4b-8c23-f7a84d906e40,求满足条件的整数个数,9,1,-8
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\417,a459fad8-b0a7-42b5-b97e-5fa5a19835b6,砝码称重,10,5,-5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\92,3981363c-143d-451e-959f-e91ce6057ee2,奇怪的电梯,5,4,-1
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\45,9df7255c-2262-4d84-8459-cba996c3d7f5,混合背包,10,5,-5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\454,3a4f04d0-baed-4266-aae2-5ec3e7b1a1b8,词组缩写,1,3,2
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\489,23b3367c-3c49-4ae6-96e0-b965ec9204de,蜜蜂路线,5,2,-3
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\490,6910c096-808f-413c-85ea-76f6c3f889ef,过河卒,5,1,-4
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\74,524d823f-1ada-41f0-b9c9-d70b90da11d8,斐波那契数列,15,5,-10
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\499,670e30b1-18b1-44fe-a1b9-22f91d4abe03,排队,8,3,-5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\503,02aa549a-187a-4576-b697-39153a620233,方格取数,20,10,-10
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\506,e729c739-887d-4efa-a26e-48d9d1760940,花生采摘,10,11,1
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\80,c0f480ff-3b1a-41e7-95f0-1a9bd084a019,计算鞍点,10,15,5
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\551,aa40b720-d9aa-4014-893a-791585465652,年龄与疾病,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\56,0d613a2a-c81d-451f-9ed4-6b0ee5d4c07f,哥德巴赫猜想,1,2,1
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\577,f0444512-adc2-44d2-9654-6747d7bf1474,字符统计,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\8,4dae57e8-c65e-42cb-b9b1-55e2623879cf,机器分配,10,1,-9
hydro,hydro\01\01\001-一本通基础-613\export_y_zui\99,eb757446-7b18-4c4b-a5b2-cc194831d294,合并果子,10,3,-7
